"Title"|"SKU"|"Image"|"Price"|"Cost"|"Category"

"SIDDHALEPA Ayurveda Herbal Balm Pain Cold Flu Headaches and bone Relief 100g"|"LAP-1881333366-SKU"|"https://i.ebayimg.com/thumbs/images/m/myJCIrZ1cp66RRHTy5_kxiA/s-l225.jpg"|"1.50"|"1.50"|"Herbal Remedies & Resins"

"Panadol 500mg Tablets For Pain Relief Of Headache, Cold, Fever And Flu"|"LAP-8051491657-SKU"|"https://i.ebayimg.com/thumbs/images/m/mdB4iOlWmx4-z_hMuFqzK3A/s-l225.jpg"|"3.00"|"3.00"|"Pain & Fever Relief"

"Siddhalepa Ayurveda Herbal Balm Pain, Cold, Flu, and Headaches Relief--2.5g-50g"|"LAP-667026487-SKU"|"https://i.ebayimg.com/thumbs/images/m/mpp24TSA-ZFPlGKbW3o4EHg/s-l225.jpg"|"3.29"|"3.29"|"Herbal Remedies & Resins"

"Walgreens   wal- flu cold and sore throat pain reliever ..."|"LAP-8543740990-SKU"|"https://i.ebayimg.com/thumbs/images/g/-6oAAOSwFvBbsEa0/s-l225.jpg"|"10.99"|"10.99"|"Cough, Cold & Flu"

"Panadol Soluble for Fast Relief of Headache, Fever & pain due to cold and flu"|"LAP-5115165338-SKU"|"https://i.ebayimg.com/thumbs/images/g/X2cAAOSwM91af~w-/s-l225.jpg"|"13.90"|"13.90"|"Pain & Fever Relief"

"100% Ayurvedic Herbal Balm for Pain Cold Flu and Headache 10g x 10 bottles"|"LAP-608654480-SKU"|"https://i.ebayimg.com/thumbs/images/g/StUAAOSwc8lZxhwG/s-l225.jpg"|"14.00"|"14.00"|"Herbal Remedies & Resins"

"Natural Relief of Cold and Flu Symptoms | Ease Your Aches and Pains | Non - Drow"|"LAP-3565914949-SKU"|"https://i.ebayimg.com/thumbs/images/g/R3kAAOSwXzNaZg08/s-l225.jpg"|"14.99"|"14.99"|"Cough, Cold & Flu"

"Coltalin Non-Drowsy Nasal Decongestant Pain Reliever Fever Reducer Cold and Flu"|"LAP-3975144045-SKU"|"https://i.ebayimg.com/thumbs/images/g/PgAAAOSwIzFaj5Ra/s-l225.jpg"|"21.99"|"21.99"|"Pain & Fever Relief"

"1/10PCs Fruit Cooling Paste Water Gel Stick For Cold Fever Pain Headache Relief"|"LAP-5359845867-SKU"|"https://i.ebayimg.com/thumbs/images/m/mm4mx9m8pFqoj0j0W2JFdnQ/s-l225.jpg"|".75"|".75"|"Pain & Fever Relief"

"Ginger Patchs Body Warmer Sticker Fever Heat Patch Neck Joint Knee Pain Relief"|"LAP-5227761094-SKU"|"https://i.ebayimg.com/thumbs/images/m/m43eeJy38TsAF2Iz9tvUxKQ/s-l225.jpg"|".75"|".75"|"Other Health Care Supplies"

"Fever Ginger Patchs Neck Warming Shoulder Waist Leg Pain Relief Body Health Care"|"LAP-6896247527-SKU"|"https://i.ebayimg.com/thumbs/images/m/m43eeJy38TsAF2Iz9tvUxKQ/s-l225.jpg"|".75"|".75"|"Foot Creams & Treatments"

"Ginger Herbal Detox Pad Patch Keep Fever Stave Off Chill Pain Relief Weight Loss"|"LAP-4417046409-SKU"|"https://i.ebayimg.com/thumbs/images/g/5VoAAOSweKhbcO6s/s-l225.jpg"|".75"|".75"|"Foot Creams & Treatments"

"Ginger Patchs Body Warmer Sticker Fever Heat Patch Neck Joint Knee Pain Relief"|"LAP-6764184725-SKU"|"https://i.ebayimg.com/thumbs/images/m/m43eeJy38TsAF2Iz9tvUxKQ/s-l225.jpg"|".75"|".75"|"Other Health Care Supplies"

"1pc medical grade hydrogel fever reducing pain relief cooling patch blue HU"|"LAP-8408901112-SKU"|"https://i.ebayimg.com/thumbs/images/g/N3MAAOSwwHpbWXGz/s-l225.jpg"|".75"|".75"|"Pain & Fever Relief"

"1/10 Lots Fruit Color Baby Cooling Gel Patch for Heat Pain Fever Headache Relief"|"LAP-5464571347-SKU"|"https://i.ebayimg.com/thumbs/images/m/m4jcGO3g-ChDvvGetq-4Hyw/s-l225.jpg"|".75"|".75"|"Pain & Fever Relief"

"Children Pain Relief Cold Fever Cooling Headache Migraine Patch Pad Pads KSLD8"|"LAP-2076349943-SKU"|"https://i.ebayimg.com/thumbs/images/m/mqfvFnJX2ZJxceo2d-25bCw/s-l225.jpg"|".88"|".88"|"Other Sleeping Aids"

"Children Pain Relief Cold Fever Cooling Headache Migraine Patch Pad Pads XTSY4"|"LAP-3398769766-SKU"|"https://i.ebayimg.com/thumbs/images/m/mlIx_9ICJbmzWmT_fS1MHHw/s-l225.jpg"|".89"|".89"|"Other Sleeping Aids"

"Children Pain Relief Cold Fever Cooling Headache Migraine Patch Pad Pads OSKJ8"|"LAP-7656985468-SKU"|"https://i.ebayimg.com/thumbs/images/m/mLl3oR1njlPkgMcSLG5f8Lw/s-l225.jpg"|".89"|".89"|"Other Sleeping Aids"

"Children Pain Relief Cold Fever Cooling Headache Migraine Patch Pad Pads USXB7"|"LAP-3565877239-SKU"|"https://i.ebayimg.com/thumbs/images/m/mLl3oR1njlPkgMcSLG5f8Lw/s-l225.jpg"|".89"|".89"|"Other Sleeping Aids"

"8pcs Insect Bite Pain Relief Arthritis Anti-inflammatory Pain Relief WT88"|"LAP-6368141974-SKU"|"https://i.ebayimg.com/thumbs/images/g/CE4AAOSwZrdbO0P2/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs Far-infrared Anti-inflammatory Analgesic Paste Patch Pain Release Relaxing."|"LAP-275738495-SKU"|"https://i.ebayimg.com/thumbs/images/g/ImEAAOSwpINaHOmC/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs Far-infrared Anti-inflammatory Analgesic Paste Patch Pain Release RelaxingH"|"LAP-3323699737-SKU"|"https://i.ebayimg.com/thumbs/images/g/ImEAAOSwpINaHOmC/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Vietnam White Tiger Balm Plaster Body Neck Massager Pain Relief Patches C086"|"LAP-5788591683-SKU"|"https://i.ebayimg.com/thumbs/images/g/NooAAOSwrCZbGfCQ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"White Tiger Balm Plaster Vietnam Body Neck Massager Pain Relief Patch C086"|"LAP-8076029859-SKU"|"https://i.ebayimg.com/thumbs/images/g/bwkAAOSwVLRaTutE/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Panadol 500mg Paracetamol Tablets Pills Pain Killer Headache Cold Flu Toothache"|"LAP-5772102691-SKU"|"https://i.ebayimg.com/thumbs/images/m/mD9rofrqQsfVRL9wjDGZidQ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain Patch HF"|"LAP-6197365711-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs/pack Chinese Pain Relieving Plaster Relief Rheumatism Joint Pain Patch TEUS"|"LAP-1076511387-SKU"|"https://i.ebayimg.com/thumbs/images/g/uPAAAOSwxAxa4ZsZ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Ginger Patch Neck Joint Paste Keep Fever Remove Chill Pain Body Warm Body Care"|"LAP-5538404942-SKU"|"https://i.ebayimg.com/thumbs/images/m/mk1N1mkss7xo9QpQT5kYVwg/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain  Patch"|"LAP-7994484386-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 pcs/pack Medical Arthritis Pain  Plaster Upper Back Muscle Pain Relief Patch"|"LAP-7983368606-SKU"|"https://i.ebayimg.com/thumbs/images/g/9HIAAOSwHola4XMw/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 Pcs/Pack Pain Patches Spirit Bone Paste Self Heating Black  Plaster"|"LAP-5108390040-SKU"|"https://i.ebayimg.com/thumbs/images/g/8w8AAOSw2QJa4Zyc/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"12 Patches Hisamitsu SALONPAS - Muscle Arthritis Aches Pain Relief By Hisamitsu"|"LAP-4635946891-SKU"|"https://i.ebayimg.com/thumbs/images/g/FawAAOSwil5bRave/s-l225.jpg"|"1.53"|"1.53"|"Pain & Fever Relief"

"8pcs/pack Medical Arthritis Pain Plaster Upper Back Muscle Pain Relief PatchTYBL"|"LAP-6037092352-SKU"|"https://i.ebayimg.com/thumbs/images/g/9HIAAOSwHola4XMw/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster YF"|"LAP-80746822-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"12 Patches Hisamitsu SALONPAS Muscle Arthritis Aches Joint Pain Backache Relief"|"LAP-9029020527-SKU"|"https://i.ebayimg.com/thumbs/images/g/NgcAAOSwFuZbQxaj/s-l225.jpg"|"1.92"|"1.92"|"Pain & Fever Relief"

"8pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain Patch TB"|"LAP-1971252173-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster LE"|"LAP-2141310328-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Thai Golden Cup Balm Herbal Pain Relief Headache Aches Traditional Ointment"|"LAP-7430070333-SKU"|"https://i.ebayimg.com/thumbs/images/m/mv1gl_UdsXkfPhpHWijCP_g/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plasteBILJ"|"LAP-8213351787-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/pack Medical Arthritis Pain Plaster Upper Back Muscle Pain Relief Patch LS"|"LAP-3204041355-SKU"|"https://i.ebayimg.com/thumbs/images/g/9HIAAOSwHola4XMw/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Hisamitsu SALONPAS Muscle Arthritis Aches Pain Relief Sore Shoulder 12 Patches"|"LAP-1349951732-SKU"|"https://i.ebayimg.com/thumbs/images/g/D8QAAOSwuVZbQxKw/s-l225.jpg"|"1.98"|"1.98"|"Pain & Fever Relief"

"8Pcs Capsicum Plaster Hot Back Pain Neck Pain Back Pain Muscle Pain Relief Patch"|"LAP-7712275813-SKU"|"https://i.ebayimg.com/thumbs/images/g/sqwAAOSwkKBbGfoF/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs/Bag  Heating Black Plaster Chinese Herbal Pain Reliving Plaster"|"LAP-7782884019-SKU"|"https://i.ebayimg.com/thumbs/images/g/cwUAAOSwGqxbGfyZ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Paracetol 500mg Paracetamol Pill Tablets Pain Killer Headache Cold Flu Toothache"|"LAP-7649408186-SKU"|"https://i.ebayimg.com/thumbs/images/m/m3Z3qs6PX0gKjYGbd241IAg/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"10 Pills Paracetol 500mg Paracetamol Tablets Pain Killer Headache Cold Toothache"|"LAP-2918800473-SKU"|"https://i.ebayimg.com/thumbs/images/g/ipsAAOSwKEFbv3uZ/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"Chinese Medicine Pain Relief Patch Anti-inflammatory Rheumatism Arthritis Platch"|"LAP-3310285074-SKU"|"https://i.ebayimg.com/thumbs/images/m/mWuhg-rHckh_w1bHNQzsXcw/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"2g. 4g. 8g. GOLDEN CUP BALM Ointment Thai Herbal Pain Relief headache aches"|"LAP-2007403127-SKU"|"https://i.ebayimg.com/thumbs/images/m/mogP8do68D-6nBUhMI3P3_w/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8 pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain  Pa PI"|"LAP-3088472239-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8Pcs Medicated Plaster Knee Pain Relief Adhesive Patch  Medicated Plaster Pain"|"LAP-2045352079-SKU"|"https://i.ebayimg.com/thumbs/images/g/G1YAAOSwic5bRC1I/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs/bag Arthritis Pain Relief Plaster Upper Back Muscle Pain Patch PA"|"LAP-9136864153-SKU"|"https://i.ebayimg.com/thumbs/images/g/csMAAOSwLpda4XUl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

"8pcs chinese pain relief plaster rheumatism joint pain patch medical plaster PA"|"LAP-7424760115-SKU"|"https://i.ebayimg.com/thumbs/images/g/e4kAAOSw8MdbBMJl/s-l225.jpg"|".99"|".99"|"Pain & Fever Relief"

