"Title","Image","Content","Date"

"Pregnancy gap should be at least a year - researchers","https://ichef.bbci.co.uk/news/1024/branded_news/1615B/production/_104095409_gettyimages-865499308-1.jpg"," 

Mothers should wait at least a year between giving birth and getting pregnant again to reduce health risks to mother and baby, a new study says.

But researchers say they need not wait as long as the 18 months recommended in the current World Health Organization guidelines.

Small gaps between pregnancies risk premature births, smaller babies and infant and mother mortality.

The researchers hope the findings will be ""reassuring"" for older women.

Senior study author Dr Wendy Norman said it was ""encouraging news"" for women over 35 who were planning their families.

""Older mothers for the first time have excellent evidence to guide the spacing of their children,"" she said.

""Achieving that optimal one-year interval should be doable for many women and is clearly worthwhile to reduce complication risks.""

The study, of nearly 150,000 births in Canada, by University of British Columbia (UBC) and the Harvard TH Chan School of Public Health is published in JAMA Internal Medicine.

The study found 12-to-18 months was the ideal length of time between giving birth and becoming pregnant again.

Current World Health Organization guidelines recommend an ideal interval of 24 months and no fewer than 18 months.

The researchers also found:

Getting pregnant less than 12 months after giving birth was associated with risks for women for all ages

There were risks to the mother only for women over the age of 35, while risks to the infant were found for all women, but were greatest for those aged between 20 and 34

Women over 35 who conceived six months after a previous birth had a 1.2% risk of maternal mortality or harm (12 cases per 1,000 pregnancies)

Waiting 18 months between pregnancies reduced the risk to 0.5% (five cases per 1,000)

Younger women who got pregnant six months after a previous birth had an 8.5% risk (85 cases per 1,000) of premature labour

This dropped to 3.7% (37 per 1,000) if they waited 18 months between pregnancies

The study's lead author, Laura Schummers, said: ""Our study found increased risks to both mother and infant when pregnancies are closely spaced, including for women older than 35.

""The findings for older women are particularly important, as older women tend to more closely space their pregnancies and often do so intentionally.""

 

The study looked at only one population of women - in Canada - so it is unclear how applicable this would be worldwide.

Researcher Dr. Sonia Hernandez-Diaz said the findings suggested different risks for each age group.

""Short pregnancy spacing might reflect unplanned pregnancies, particularly among young women.

""Whether the elevated risks are due to our bodies not having time to recover if we conceive soon after delivering or to factors associated with unplanned pregnancies, like inadequate prenatal care, the recommendation might be the same: improve access to postpartum contraception, or abstain from unprotected sexual intercourse with a male partner following a birth.""

Mandy Forrester, from the Royal College of Midwives, said the study was ""useful research and builds on previous research into birth spacing"".

""Ultimately, it will be a woman's choice, whatever age they are, about how long they leave between their pregnancies. What is important is that they are aware of the evidence around birth spacing and that they make their choice armed with the right information.

""Health professionals will always support a woman in her choice, which will be about what is right for them and their pregnancy.

She said women needed access to contraceptive advice to allow them to space their births, if that was their choice, but said in specialist family planning service provision in the UK was ""patchy, with GPs frequently offering only oral contraception"".

""Specialist services should be available for all women.""","Tue, 30 Oct 2018 00:33:18 GMT"

"Unpublished medical research 'a threat to public health'","https://ichef.bbci.co.uk/news/1024/branded_news/69E5/production/_104090172_gettyimages-911834392.jpg"," 

Important information on the efficacy of new drugs and treatments is going unpublished, posing a risk to health, says a report by MPs.

The House of Commons Science and Technology Committee says despite repeated warnings, not enough is being done to make sure the results of all clinical trials are reported.

Nearly half of clinical trials go unreported, evidence suggests.

It means some clinical decisions are made without all the available data.

In some cases, this might endanger human life, says the group of MPs.

They give the example of heart drug lorcainide, which was tested in 1980.

'Publication bias'

The results showed that people who were taking it were more likely to die than those who were not, but those findings were not published until 1993 - long after it was made available to patients in the US.

The committee also heard that ""publication bias"" may have led to UK public money being wasted, for example when the government's decided to spend £424m to stockpile Tamiflu in response to the H1N1 ""swine flu"" epidemic in 2009.

Dr Simon Kolstoe, a researcher at the University of Portsmouth and chairman of two ethics committees, told the committee: ""Eight out of the 10 trials that were used by the company to show the drug was useful in preventing complications such as pneumonia had never actually been peer-reviewed or published.""

He said this meant governments were ""relying on a marketing spiel claiming successful trials of this drug, rather than being able to consider the actual evidence of the drug efficacy for themselves"".

The NHS Health Research Authority (HRA) has been responsible for ""promoting research transparency"" since 2014, but the committee says not enough has been done to improve reporting rates.

Public money

MPs want the HRA to produce a strategy for fixing this problem and say its performance should be measured against progress.

The HRA says it is working with the industry to promote transparency.

Committee chairman Norman Lamb said: ""Many of these trials are funded with public money and the taxpayer has a right to expect those who benefit from public funding to follow the rules and publish in full.""

He said it was particularly disappointing that trusted bodies such as Public Health England and a range of NHS Foundation Trusts were included in those failing to report results from clinical trials.

A trials tracker website, called the EU Clinical Trials Register, claims that Public Health England has three overdue trials relating to meningitis vaccination.

Dr Mary Ramsay, head of immunisations at Public Health England, said: ""We register all our trials on the EU Clinical Trials Register before they begin and are in the process of uploading our results data to it.

""We are committed to transparency and have already published this data publicly in academic journals and online at clinicaltrials.gov.""","Tue, 30 Oct 2018 00:33:07 GMT"

"Sally Hodkin murder: Patient 'called her nurse 10 times'","https://ichef.bbci.co.uk/news/1024/branded_news/16846/production/_96603229_mediaitem96603228.jpg"," PA  Sally Hodkin, seen here with her son Len Hodkin, was killed by Nicola Edgington in 2011

A patient who murdered a grandmother called her psychiatric nurse 10 times on the day of the killing and had asked to be collected, an inquest has heard.

Nicola Edgington almost decapitated Sally Hodkin with a stolen butcher's knife in Bexleyheath, in 2011, six years after killing her own mother.

Nurse Tanya Biebuyck told the inquest Edgington had left her a voicemail saying she was ""not very well"".

A recent report found NHS and police failings led to Mrs Hodkin's murder.

South London Coroner's Court heard Edgington had asked her care co-ordinator Ms Biebuyck to drop her at A&E about two weeks before the murder because she had bleeding and believed she had suffered a miscarriage.

The hearing was told the possible miscarriage may be significant as diagnosed schizophrenic Edgington had a termination against her will shortly before stabbing her mother Marion at her home in 2005.

However, Ms Biebuyck said at the time she had no concerns over her patient's mental state.

""I remember her saying to me that perhaps it was better that she wasn't pregnant because of the situation with her on-off boyfriend at that time.

""She was very relaxed, her mood was eurythmic,"" she said.

 PA  Nicola Edgington had been ordered to be detained indefinitely under the Mental Health Act after being convicted in 2006 of killing her mother

The inquest has also heard Edgington threatened at least two people with knives while on discharge, had been smoking high-strength cannabis and had not slept in three weeks before the murder of 58-year-old Mrs Hodkin.

Ms Biebuyck said she believed the ""right decisions"" had been made with her care ""considering the clinical picture"".

She told the inquest no trace of drugs were found during random screenings of Edgington and there had also been ""no evidence of any changes in her mental health"".

On the day of Mrs Hodkin's murder, Edgington was taken to Oxleas House mental health unit, but was later allowed to walk out of the building.

The inquest continues.","Tue, 30 Oct 2018 15:55:51 GMT"

"Surgery students 'losing dexterity to stitch patients'","https://ichef.bbci.co.uk/news/1024/branded_news/1D85/production/_104075570_surgery1.jpg"," 

A professor of surgery says students have spent so much time in front of screens and so little time using their hands that they have lost the dexterity for stitching or sewing up patients.

Roger Kneebone, professor of surgical education at Imperial College, London, says young people have so little experience of craft skills that they struggle with anything practical.

""It is important and an increasingly urgent issue,"" says Prof Kneebone, who warns medical students might have high academic grades but cannot cut or sew.

""It is a concern of mine and my scientific colleagues that whereas in the past you could make the assumption that students would leave school able to do certain practical things - cutting things out, making things - that is no longer the case,"" says Prof Kneebone.

Stitched up

The professor, who teaches surgery to medical students, says young people need to have a more rounded education, including creative and artistic subjects, where they learn to use their hands.

Do smartphones really affect surgeons' skills?

Prof Kneebone says he has seen a decline in the manual dexterity of students over the past decade - which he says is a problem for surgeons, who need craftsmanship as well as academic knowledge.

""An obvious example is of a surgeon needing some dexterity and skill in sewing or stitching,"" he says.




""A lot of things are reduced to swiping on a two-dimensional flat screen,"" he says, which he argues takes away the experience of handling materials and developing physical skills.

Such skills might once have been gained at school or at home, whether in cutting textiles, measuring ingredients, repairing something that's broken, learning woodwork or holding an instrument.

Students have become ""less competent and less confident"" in using their hands, he says.

""We have students who have very high exam grades but lack tactile general knowledge,"" says the professor.

Stay ahead of the robots

Prof Kneebone will be speaking on Tuesday at the V&A Museum of Childhood in east London, at the launch of a report, published by the Edge Foundation, calling for more creativity in the curriculum.

Alice Barnard, chief executive of the Edge education charity, says: ""The government pays lip service by saying creative subjects are important, but its policies demonstrate otherwise.""

She says the way school performance is measured tends to push schools to focus on core academic subjects, to the detriment of arts and creative subjects.

The report warns that entries to creative subjects have fallen by 20% since 2010, including a 57% fall in design and technology GCSE.

Tristram Hunt, director of the Victoria and Albert Museum, will be speaking alongside Prof Kneebone.

""Creativity is not just for artists. Subjects like design and technology, music, art and drama are vitally important for children to develop imagination and resourcefulness, resilience, problem-solving, team-working and technical skills,"" says Mr Hunt.

""These are the skills which will enable young people to navigate the changing workplace of the future and stay ahead of the robots, not exam grades.""","Tue, 30 Oct 2018 00:34:43 GMT"

"Swim England removes article which advised women how to look slimmer in pool","https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/7F31/production/_86516523_swimming.jpg","National governing body Swim England has apologised and removed an article from its website which suggested how women could look slimmer in the pool.

The piece advised that women with a ""jiggly belly"" should avoid wearing bikinis, and said being pear-shaped has ""often been the plague of women"".

The article had been on the website since 2010, but was removed after Simone Webb highlighted some of its content in a thread on Twitter.

A Swim England spokesperson told BBC Sport: ""This was an old web page from 2010 that does not represent the views of Swim England. As soon as the article was brought to our attention we removed the page and are in the process of replacing it with more appropriate information.

""Swimming is one of the most accessible activities for people of all ages and abilities. We want everyone to feel comfortable in the water so they can take advantage of the many benefits swimming has to offer.

""We apologise for any offence this old information may have caused and hope this won't deter people from continuing to enjoy the water.""

The Swim England website has published a new guide.

Snippets from the removed article:","Tue, 30 Oct 2018 14:23:46 GMT"
